[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, quantum design, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Temp(K),Field(Oe),source(A),R(V),R(ohm)
3756102028.497400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.597400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.785400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.886400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.987400,300.007200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.177400,300.007200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.278400,300.007200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.379400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.531400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.632400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.733400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102029.902400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102030.003400,300.006600,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102030.103400,300.006600,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102030.230400,300.006600,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102033.203400,300.006600,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102033.505400,300.005400,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102033.655400,300.005400,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102033.755400,300.007500,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102033.923400,300.007500,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102034.024400,300.007500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.214400,300.003700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.314400,300.003700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.482400,300.003700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.583400,300.003700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.683400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.813400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102034.931400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.063400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.163400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.309400,300.006600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.510400,300.006600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.610400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.753400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102035.861400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.008400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.109400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.215400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.456400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.574400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.720400,300.006000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.857400,300.006000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102036.998400,300.006000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.133400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.325400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.437400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.638400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.784400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102037.928400,300.005700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.030400,300.006900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.280400,300.006900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.400400,300.006900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.637400,300.007800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.805400,300.007800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102038.906400,300.007800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.034400,300.007800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.135400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.240400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.374400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.475400,300.004500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.586400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.786400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102039.886400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.000400,300.004900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.101400,300.004900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.226400,300.004900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.410400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.582400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.688400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.802400,300.004200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102040.941400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.061400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.200400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.301400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.436400,300.001300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.537400,300.001300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.662400,300.001300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.834400,300.001300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102041.935400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.104400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.205400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.338400,300.001000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.439400,299.998900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.540400,299.998900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.689400,299.998900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.790400,299.996200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102042.969400,299.996200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.070400,299.996200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.171400,299.996200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.281400,299.996200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.382400,299.997400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.538400,299.997400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.664400,299.997400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102043.793400,299.994100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.085400,299.994100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.262400,299.994100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.408400,299.990600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.642400,299.990600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.746400,299.987600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102044.924400,299.987600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.076400,299.987600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.242400,299.985600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.370400,299.985600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.621400,299.985600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.722400,299.980800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102045.920400,299.980800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.021400,299.980800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.205400,299.977800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.324400,299.977800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.586400,299.977800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.700400,299.973100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102046.891400,299.973100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.005400,299.973100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.241400,299.966600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.381400,299.966600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.602400,299.961500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.726400,299.961500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102047.915400,299.961500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.016400,299.961500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.197400,299.955900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.381400,299.955900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.583400,299.949600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.716400,299.949600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102048.927400,299.949600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.056400,299.939300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.209400,299.939300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.438400,299.939300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.601400,299.933300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.770400,299.933300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102049.955400,299.933300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102050.058400,299.925000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102050.252400,299.925000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102050.467400,299.916700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102050.712400,299.916700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102050.861400,299.916700,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.040400,299.907200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.257400,299.907200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.358400,299.895900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.640400,299.895900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.787400,299.895900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102051.963400,299.885500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102052.101400,299.885500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102052.286400,299.885500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102052.440400,299.872200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102052.722400,299.872200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102052.956400,299.861500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102053.068400,299.861500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102053.304400,299.861500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102053.512400,299.847800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102053.701400,299.847800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102053.953400,299.837500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102054.119400,299.837500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102054.312400,299.837500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102054.474400,299.820300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102054.637400,299.820300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102054.867400,299.804500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.002400,299.804500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.174400,299.804500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.274400,299.788500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.476400,299.788500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.635400,299.788500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102055.823400,299.773900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102056.038400,299.773900,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102056.254400,299.756400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102056.429400,299.756400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102056.598400,299.756400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102056.770400,299.738000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102057.008400,299.738000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102057.258400,299.720500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102057.505400,299.720500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102057.631400,299.704800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102057.834400,299.704800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102058.036400,299.686100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102058.309400,299.686100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102058.474400,299.686100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102058.714400,299.667400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102058.941400,299.667400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102059.109400,299.650500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102059.310400,299.650500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102059.494400,299.650500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102059.681400,299.634200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102059.855400,299.634200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.013400,299.634200,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.158400,299.614600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.397400,299.614600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.498400,299.614600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.733400,299.601500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102060.900400,299.601500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.072400,299.601500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.221400,299.583400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.468400,299.583400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.621400,299.565600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.821400,299.565600,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102061.922400,299.550500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102062.120400,299.550500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102062.255400,299.550500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102062.525400,299.534100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102062.742400,299.534100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102062.861400,299.534100,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102063.027400,299.518400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102063.201400,299.518400,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102063.479400,299.504500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102063.727400,299.504500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102063.843400,299.504500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.027400,299.489000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.143400,299.489000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.328400,299.489000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.528400,299.471800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.781400,299.471800,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102064.895400,299.455500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.059400,299.455500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.247400,299.455500,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.468400,299.441000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.626400,299.441000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.847400,299.441000,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102065.983400,299.424300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102066.201400,299.424300,Tracking,1000.197000,StablePersistent,PurgedAndSealed
3756102066.311400,299.409200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102066.500400,299.409200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102066.681400,299.409200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102066.901400,299.396200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102067.038400,299.396200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102067.265400,299.380200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102067.499400,299.380200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102067.625400,299.380200,Chasing,1000.197000,StablePersistent,PurgedAndSealed
3756102067.901400,299.368600,Chasing,1000.197000,StablePersistent,PurgedAndSealed
